,X,Age,Overall,Acceleration,Aggression,Agility,Balance,Ball.control,Composure,Crossing,Curve,Dribbling,Finishing,Free.kick.accuracy,GoK.diving,GoK.handling,GoK.kicking,GoK.positioning,GoK.reflexes,Heading.accuracy,Interceptions,Jumping,Long.passing,Long.shots,Marking,Penalties,Positioning,Reactions,Short.passing,Shot.power,Sliding.tackle,Sprint.speed,Stamina,Standing.tackle,Strength,Vision,Volleys,Potential
2324,2323,30,74,57,70,36,36,61,53,39,39,56,49,52,12,12,12,8,7,82,74,32,59,41,74,51,53,71,66,71,72,50,63,77,87,41,65,74
2325,2324,28,74,65,73,63,54,72,75,64,55,70,74,47,14,10,6,8,12,80,25,80,55,71,22,75,74,70,65,78,18,51,63,19,83,58,73,74
2326,2325,26,74,76,83,76,87,75,65,69,56,70,58,47,7,7,14,14,8,58,72,67,66,53,70,58,68,74,76,72,72,79,75,75,72,68,31,76
2327,2326,22,74,75,33,84,93,74,76,66,67,73,69,68,12,14,14,11,8,47,27,71,69,67,20,59,78,64,77,60,16,71,70,25,31,70,64,82
2328,2327,25,74,66,78,46,56,50,45,35,30,46,27,29,10,9,14,6,15,76,74,85,65,22,73,43,23,73,66,45,71,64,62,74,78,32,30,77
2329,2328,34,74,35,38,57,51,25,48,13,15,11,14,13,72,71,72,70,76,15,26,71,27,14,12,22,16,75,31,23,13,35,25,15,66,67,15,74
2330,2329,32,74,64,69,73,78,77,73,68,74,70,59,78,12,16,7,14,7,72,71,58,76,78,63,74,68,74,77,80,66,62,54,71,68,76,65,74
2331,2330,25,74,68,74,72,69,75,77,60,65,69,76,47,8,7,7,7,10,74,36,71,55,72,33,76,74,67,68,77,29,73,70,40,77,65,67,77
2332,2331,27,74,63,82,52,59,71,80,64,53,68,74,59,10,15,9,9,14,54,67,73,76,67,49,53,81,84,80,70,57,64,86,64,67,68,59,75
2333,2332,24,74,90,37,81,70,72,68,60,46,72,74,37,6,9,9,10,10,75,24,85,36,56,15,72,71,78,62,72,15,90,71,17,70,56,60,80
2334,2333,23,74,66,82,67,67,65,68,59,31,58,30,31,13,14,13,15,16,59,78,83,65,39,75,32,60,73,70,53,70,61,90,76,70,65,22,82
2335,2334,25,74,77,58,71,68,75,76,74,69,78,68,42,7,9,13,14,10,46,20,45,62,72,20,61,76,72,74,75,26,74,81,30,64,66,64,75
2336,2335,31,74,68,72,66,60,62,69,48,59,58,27,27,8,9,7,11,13,68,78,84,54,37,76,37,35,70,58,62,74,68,68,78,72,34,22,74
2337,2336,26,74,54,70,58,63,75,75,61,64,71,46,61,4,10,13,6,13,67,73,67,76,69,58,51,61,71,78,61,64,66,78,68,77,71,51,77
2338,2337,33,74,58,37,50,53,24,48,19,20,14,13,11,71,73,76,77,72,12,22,69,20,12,11,18,18,74,29,16,17,55,38,11,70,47,13,74
2339,2338,21,74,78,65,81,79,77,73,70,79,79,67,74,13,14,15,15,10,55,45,58,73,65,30,60,68,67,74,76,45,78,72,55,60,73,64,80
2340,2339,29,74,81,46,64,70,76,71,76,67,74,70,76,15,13,12,10,9,54,38,67,59,52,39,57,74,74,76,52,41,77,48,52,52,73,67,74
2341,2340,28,74,70,71,76,74,76,73,76,81,75,71,72,6,13,6,13,16,69,48,60,74,77,30,59,68,75,76,79,34,63,71,41,62,74,66,74
2342,2341,22,74,68,80,61,66,71,68,48,55,67,58,52,10,13,7,14,11,60,76,57,75,77,76,60,55,69,74,78,67,68,66,73,76,62,76,82
2343,2342,28,74,32,84,37,28,54,65,41,32,32,51,45,12,15,11,12,11,72,73,68,62,31,73,42,30,70,63,54,64,37,65,78,92,42,66,75
2344,2343,19,74,64,68,67,54,79,66,66,64,75,54,60,11,12,11,10,15,68,75,59,72,72,64,60,54,66,78,76,68,68,78,72,65,75,64,86
2345,2344,28,74,69,77,37,43,63,66,51,72,33,30,62,11,6,6,13,7,72,76,65,64,36,76,68,20,69,62,71,72,66,71,75,80,51,38,75
2346,2345,31,74,68,65,77,57,76,62,73,69,79,73,68,7,10,12,11,13,68,48,70,59,71,28,66,74,75,70,76,33,71,62,40,72,60,72,74
2347,2346,33,74,83,39,86,90,74,74,71,73,75,64,69,11,9,7,7,9,42,36,66,60,56,31,68,72,80,75,59,33,75,68,24,33,74,74,74
2348,2347,33,74,81,45,72,70,71,66,74,83,77,61,75,8,14,9,9,12,51,45,55,61,62,23,71,76,77,72,57,22,71,66,21,67,77,55,74
2349,2348,33,74,88,49,81,75,73,68,72,49,72,64,60,8,10,12,20,19,43,66,53,58,66,55,53,77,81,70,63,57,82,76,58,60,71,58,74
2350,2349,25,74,65,80,64,59,72,69,67,60,71,71,62,9,13,9,9,16,76,35,75,59,71,25,66,74,72,69,77,40,73,76,42,83,65,73,78
2351,2350,38,74,51,61,69,66,81,71,80,77,77,69,82,14,12,12,7,9,71,67,72,68,74,53,74,70,69,80,77,68,48,67,58,66,75,81,74
2352,2351,25,74,70,77,65,63,62,65,48,32,50,52,32,15,11,6,14,12,73,74,82,64,56,74,46,25,66,66,65,76,68,67,74,77,54,54,79
2353,2352,24,74,87,69,73,59,69,67,66,65,74,75,53,6,11,9,15,9,63,24,78,55,72,20,72,72,71,62,79,23,89,84,25,79,59,75,79
2354,2353,20,74,77,54,73,67,79,75,70,63,79,60,63,12,13,15,12,10,59,33,51,64,65,43,65,73,63,76,62,46,74,72,44,68,74,61,85
2355,2354,25,74,92,64,91,73,74,62,63,50,74,72,45,14,12,12,10,9,60,34,90,47,64,17,56,71,72,62,85,19,94,67,23,71,38,64,78
2356,2355,23,74,72,66,66,45,69,72,78,64,68,26,35,14,14,13,7,6,68,72,64,68,41,66,31,58,66,68,59,74,82,88,74,79,58,37,79
2357,2356,28,74,66,67,63,59,70,69,62,55,59,32,37,10,10,15,9,6,73,76,69,65,29,75,55,46,73,73,54,75,72,72,74,68,59,49,74
2358,2357,31,74,75,62,76,74,75,71,79,54,75,58,57,6,16,10,12,9,53,46,73,75,71,71,58,70,76,75,67,69,72,64,72,70,74,62,74
2359,2358,27,74,77,74,77,77,74,69,71,57,70,36,47,12,8,14,9,14,60,64,67,64,43,75,60,56,74,69,66,77,74,78,76,65,56,49,74
2360,2359,33,74,76,61,71,81,75,76,75,79,75,72,76,18,16,13,15,15,77,22,74,64,77,24,65,72,70,73,72,22,69,72,24,64,76,61,74
2361,2360,29,74,75,54,77,62,75,72,74,81,74,57,76,9,8,8,7,12,71,54,56,73,75,33,69,73,78,75,71,21,67,67,29,74,75,55,74
2362,2361,25,74,92,73,85,74,74,73,66,63,77,61,51,10,12,10,14,8,64,34,72,65,71,18,69,69,70,72,68,18,88,76,17,59,70,65,77
2363,2362,32,74,72,54,79,81,80,78,76,80,78,66,77,13,16,9,9,7,53,43,67,69,74,40,72,68,65,70,74,35,70,65,41,56,78,64,74
2364,2363,27,74,56,74,50,48,69,76,46,55,65,59,42,7,11,15,9,13,66,74,43,70,68,66,44,67,71,74,74,65,55,87,80,86,68,59,75
2365,2364,28,74,55,55,43,54,70,66,50,33,55,36,36,11,8,16,7,15,63,75,78,70,35,72,51,26,70,76,55,75,52,75,81,81,34,37,75
2366,2365,23,74,70,56,76,69,79,66,76,80,81,67,60,13,12,10,7,14,43,28,58,71,77,38,56,64,66,78,78,43,69,63,46,66,70,47,82
2367,2366,27,74,83,57,78,71,75,74,65,66,78,68,41,14,11,7,14,8,69,20,55,65,67,22,71,69,70,69,71,21,86,76,15,53,69,53,74
2368,2367,24,74,70,74,66,58,54,66,59,57,48,40,34,12,10,8,15,16,70,68,82,52,34,75,41,39,62,65,22,79,77,66,77,76,44,44,80
2369,2368,27,74,64,70,67,55,76,80,61,71,74,75,45,10,16,13,9,15,75,27,73,63,66,22,76,75,71,68,73,28,52,70,34,81,66,72,75
2370,2369,28,74,54,66,54,60,64,72,48,37,58,30,40,7,9,7,13,14,73,77,82,52,32,71,47,30,67,67,53,73,63,60,75,76,55,49,74
2371,2370,25,74,53,52,67,58,73,74,42,63,63,73,52,10,10,18,10,13,76,20,62,53,72,12,76,74,67,71,86,10,56,60,18,88,65,77,74
2372,2371,34,74,38,71,59,55,64,73,35,78,60,23,80,9,10,10,7,14,68,79,71,70,80,77,70,33,69,66,84,74,55,56,76,75,34,30,74
2373,2372,26,74,75,48,88,90,82,61,63,83,80,69,80,12,8,10,13,12,47,33,78,71,68,26,69,61,70,74,59,23,74,74,28,58,72,62,75
2374,2373,30,74,68,75,73,65,74,72,77,79,74,40,78,7,10,16,16,6,68,74,71,73,66,75,65,67,72,75,74,74,68,75,73,76,70,65,74
2375,2374,25,74,82,44,81,77,71,77,61,55,73,74,56,7,7,9,8,10,73,44,56,52,71,23,72,71,77,61,70,24,83,59,25,66,55,76,74
2376,2375,25,74,85,69,77,75,72,73,67,68,74,58,34,6,12,6,9,8,63,73,75,68,68,68,47,59,74,70,67,75,78,84,72,72,48,48,77
2377,2376,27,74,52,29,52,42,24,62,18,12,17,10,11,75,73,71,73,74,13,29,62,31,18,19,23,10,68,33,24,17,56,32,11,68,43,18,77
2378,2377,25,74,62,51,66,67,77,76,76,75,76,66,80,9,9,11,11,10,53,57,46,75,83,42,74,72,73,77,84,44,64,52,57,60,77,72,79
2379,2378,29,74,72,55,79,76,75,70,75,76,75,73,78,9,12,15,8,8,57,46,55,72,71,46,68,67,68,75,78,39,75,64,48,65,75,63,74
2380,2379,24,74,94,72,91,84,75,66,64,55,81,68,69,12,10,14,14,7,59,36,70,48,56,27,60,69,75,68,65,40,90,69,44,57,65,60,77
2381,2380,25,74,44,27,50,50,32,41,11,15,15,18,12,78,65,75,66,79,11,11,80,37,18,13,30,8,76,34,43,11,44,30,11,32,47,15,75
2382,2381,34,74,49,68,45,41,71,65,46,53,60,79,53,8,15,7,16,8,81,26,31,37,71,28,81,82,72,58,77,22,53,63,37,92,58,74,74
2383,2382,26,74,82,73,83,71,66,63,64,44,74,50,46,7,7,14,7,11,53,70,70,69,42,69,41,55,69,73,51,75,81,90,73,65,62,53,76
2384,2383,28,74,37,76,50,43,70,70,33,39,65,80,46,10,9,11,11,15,80,40,75,44,74,26,76,75,75,69,79,25,38,79,35,90,62,73,74
2385,2384,25,74,81,55,69,67,61,65,51,55,62,74,53,8,8,8,15,9,70,31,71,52,77,12,77,77,75,67,81,12,78,61,12,78,51,76,74
2386,2385,30,74,81,55,70,68,74,65,70,71,73,72,65,9,6,16,13,9,67,47,63,74,66,43,70,68,68,75,60,55,79,66,59,65,73,65,74
2387,2386,24,74,76,56,77,76,79,69,62,68,79,71,64,12,7,7,7,11,76,26,86,51,66,20,65,77,68,70,70,26,79,69,28,66,60,68,78
2388,2387,29,74,72,80,66,72,62,64,58,65,60,22,67,8,13,8,15,9,71,74,91,53,59,74,45,42,69,59,57,73,71,73,75,77,39,30,74
2389,2388,28,74,85,78,84,83,76,71,72,72,79,68,74,11,10,9,12,14,68,40,82,62,69,32,70,68,67,71,72,32,83,70,38,68,74,66,74
2390,2389,26,74,74,68,76,67,73,64,81,64,67,44,57,16,9,16,14,12,59,71,72,66,61,73,55,61,57,70,79,69,78,87,74,57,53,40,75
2391,2390,28,74,52,74,61,39,72,69,50,67,71,78,41,10,8,13,8,10,81,20,77,54,57,22,73,72,71,75,72,18,70,62,24,75,74,66,74
2392,2391,21,74,79,46,77,76,83,70,52,50,83,63,40,14,7,12,14,11,42,24,50,57,54,29,56,68,72,80,67,23,78,70,26,72,75,48,85
2393,2392,23,74,66,70,65,61,60,65,28,25,58,22,22,6,10,6,7,11,68,76,72,58,18,76,36,30,66,64,39,76,68,69,78,79,48,25,80
2394,2393,24,74,75,64,84,79,77,67,70,77,79,59,69,15,12,14,7,14,38,66,63,74,75,41,44,70,73,77,70,50,74,75,54,49,74,71,77
2395,2394,21,74,62,69,54,58,63,57,33,31,49,26,28,13,15,14,16,11,73,76,71,69,27,76,34,32,66,71,60,71,54,63,77,74,55,26,83
2396,2395,27,74,84,56,77,74,74,73,74,75,75,66,70,9,15,12,14,6,54,30,66,66,67,34,61,70,72,73,78,25,85,70,30,57,70,66,74
2397,2396,26,74,85,71,77,76,75,74,70,74,76,70,42,6,10,12,15,9,77,63,82,61,64,60,66,73,75,67,75,66,83,79,61,61,67,61,74
2398,2397,20,74,84,67,81,69,74,75,69,74,76,74,70,9,12,11,9,9,60,47,65,62,76,25,69,78,76,73,76,30,80,77,34,56,71,73,82
2399,2398,33,74,73,77,68,71,75,69,67,67,69,55,65,9,16,6,9,9,64,72,77,76,68,68,66,68,68,75,77,52,72,76,72,63,73,68,74
2400,2399,26,74,90,68,80,81,69,71,63,49,76,74,36,7,15,13,14,15,66,44,76,49,72,29,53,76,68,58,71,35,91,63,33,72,64,59,77
2401,2400,30,74,44,71,55,57,72,72,51,55,70,74,56,13,8,8,16,11,83,33,74,63,63,27,73,76,75,69,76,45,53,67,48,88,61,72,74
2402,2401,28,74,46,22,47,46,26,32,20,13,12,16,12,75,74,69,70,75,11,14,70,29,12,19,37,9,72,22,17,13,44,34,17,65,58,18,75
2403,2402,25,74,79,30,79,80,75,72,70,71,80,71,60,9,11,9,6,7,41,34,33,69,70,28,59,72,65,72,63,21,76,66,27,37,73,62,77
2404,2403,31,74,74,68,88,83,75,68,70,69,74,67,71,16,13,12,8,10,59,59,58,78,73,56,71,67,77,76,80,62,67,69,61,56,73,62,74
2405,2404,23,74,62,79,56,57,63,60,32,37,53,22,29,7,14,12,15,8,73,72,76,47,25,75,39,35,75,60,64,73,70,72,75,76,41,29,82
2406,2405,30,74,80,77,79,85,75,78,75,75,81,68,68,15,16,13,11,10,55,42,75,61,65,34,59,71,65,66,82,35,80,66,48,55,71,61,74
2407,2406,20,74,69,66,72,77,80,72,76,66,77,47,55,13,13,6,16,12,54,64,60,80,48,57,47,56,72,80,67,52,68,76,55,75,75,58,83
2408,2407,29,74,77,76,80,82,75,70,64,75,71,74,76,8,15,15,10,8,71,26,86,66,72,20,68,75,75,67,75,20,80,79,24,63,68,79,74
2409,2408,27,74,80,55,75,75,77,77,73,75,80,64,74,8,9,13,8,7,38,33,54,70,62,31,64,66,70,73,60,26,80,70,27,63,78,64,74
2410,2409,20,74,90,62,87,79,71,75,63,51,86,75,29,6,7,14,8,9,58,41,83,58,61,37,49,76,68,68,71,35,90,76,52,64,67,59,87
2411,2410,29,74,86,55,74,62,73,65,71,63,75,68,53,1,1,1,1,1,49,61,72,64,64,33,65,71,71,68,71,26,87,73,41,68,70,59,74
2412,2411,33,74,68,76,64,64,74,68,80,76,72,42,51,13,13,16,14,14,54,72,70,65,48,71,46,70,69,74,52,74,68,79,77,73,67,49,74
2413,2412,27,74,63,70,58,36,76,70,42,43,70,76,50,11,8,9,15,12,76,25,56,50,54,14,56,74,68,64,72,20,70,66,34,86,60,68,75
2414,2413,25,74,52,72,53,65,56,66,57,31,47,31,36,6,10,8,16,14,76,70,80,49,42,75,40,34,62,61,48,72,64,75,75,92,32,35,79
2415,2414,19,74,87,44,78,85,77,67,66,70,82,66,57,11,14,12,14,13,55,21,70,53,65,24,59,68,69,70,72,26,84,66,25,68,66,62,84
2416,2415,29,74,62,72,63,68,65,67,61,51,50,36,38,10,6,7,13,8,69,78,90,64,27,78,51,41,69,65,60,72,66,73,73,71,59,40,74
2417,2416,27,74,68,55,38,31,67,67,35,40,71,73,36,10,10,10,15,14,80,41,59,34,69,18,73,80,70,61,74,16,68,61,35,91,70,69,75
2418,2417,24,74,74,70,72,72,64,68,51,25,63,38,18,8,8,9,7,7,72,74,82,50,65,75,53,46,71,67,66,72,76,74,72,76,48,24,79
2419,2418,32,74,70,76,70,71,73,82,64,72,68,56,70,14,11,12,9,16,42,70,66,80,64,66,64,63,69,75,75,65,64,81,72,76,78,55,74
2420,2419,28,74,76,63,76,63,76,63,37,66,75,72,57,7,12,6,15,14,70,25,67,44,68,23,61,72,70,72,70,21,79,69,29,76,51,69,74
2421,2420,23,74,78,69,80,73,75,69,69,76,75,68,68,10,14,9,12,8,67,46,70,63,72,41,66,73,69,75,69,35,80,69,42,67,74,70,79
2422,2421,28,74,48,18,46,29,22,48,18,19,14,13,17,77,73,52,70,78,19,19,65,23,14,15,22,14,74,36,21,19,51,33,15,64,39,16,75
2423,2422,26,74,69,85,75,75,76,75,69,71,71,69,74,7,16,7,9,14,53,62,62,74,66,62,51,71,72,76,73,59,70,89,62,66,75,64,77
2424,2423,29,74,86,63,84,77,74,74,73,68,74,48,69,15,6,16,13,8,59,71,75,72,73,67,51,67,73,72,76,71,79,82,72,64,69,49,74
2425,2424,27,74,45,22,34,57,22,25,21,12,19,20,17,77,69,68,72,72,18,25,58,24,12,12,22,18,76,31,24,19,49,30,19,49,59,20,76
2426,2425,27,74,71,63,65,52,58,75,52,42,55,34,42,9,12,12,14,13,73,73,63,72,32,78,47,35,65,66,47,77,69,71,78,81,54,48,77
2427,2426,29,74,61,73,54,64,75,67,52,53,60,75,50,7,10,7,10,8,80,26,69,62,72,54,73,75,75,67,79,42,42,77,40,90,68,72,74
2428,2427,28,74,77,66,70,83,72,67,67,69,68,30,34,15,16,14,16,6,63,76,76,70,47,75,44,60,64,70,46,80,67,74,75,65,64,35,74
2429,2428,28,74,52,68,49,56,58,73,40,32,57,42,22,6,8,13,7,8,76,74,44,68,30,74,72,40,72,64,55,75,45,80,77,85,64,29,74
2430,2429,28,74,63,78,69,66,72,78,70,67,64,63,61,11,15,8,13,10,65,72,89,73,70,69,44,66,73,77,67,69,63,84,74,68,71,69,74
2431,2430,29,74,85,41,80,86,72,74,72,66,74,67,45,6,11,15,14,16,53,68,56,72,83,72,48,68,69,70,76,76,82,75,72,48,67,64,74
2432,2431,21,74,62,74,64,57,77,66,59,68,73,62,69,9,12,9,13,14,75,74,68,74,67,59,58,70,71,77,63,65,61,69,75,74,74,58,84
2433,2432,20,74,55,69,66,60,75,65,61,66,71,59,52,12,11,11,10,8,42,71,55,74,65,70,55,60,70,80,43,73,57,69,75,64,73,44,85
2434,2433,26,74,64,73,73,62,75,71,68,66,72,69,47,9,10,15,11,12,78,75,78,72,75,72,57,70,74,75,77,66,62,72,73,75,74,66,76
2435,2434,26,74,67,80,70,70,72,65,65,64,66,39,49,10,12,10,8,13,67,73,82,78,52,73,50,56,73,74,58,70,69,55,76,69,64,49,76
2436,2435,29,74,76,54,80,82,77,68,70,85,81,66,69,15,7,7,12,15,42,31,70,68,77,23,40,70,72,70,75,23,75,65,24,62,69,65,74
2437,2436,25,74,90,64,81,77,72,63,69,68,69,48,65,13,15,14,9,8,53,74,59,69,66,73,62,66,72,75,68,71,85,79,69,54,61,55,75
2438,2437,22,74,64,74,37,48,65,67,43,38,42,41,39,10,13,12,8,12,75,70,76,61,35,75,58,36,65,67,54,77,63,64,79,69,41,45,81
2439,2438,27,74,68,36,67,48,73,64,43,60,63,71,59,11,10,15,15,6,82,44,79,52,70,20,66,75,74,69,74,21,63,55,19,84,56,69,74
2440,2439,28,74,86,67,77,88,76,64,73,74,76,43,73,16,12,15,14,16,44,70,69,65,67,71,78,72,74,75,73,73,78,78,74,46,63,51,74
2441,2440,29,74,41,23,30,53,17,26,14,24,20,15,21,74,70,75,69,77,23,24,72,23,17,13,30,15,77,29,23,16,44,30,12,70,46,19,74
2442,2441,28,74,66,73,63,63,68,67,50,70,57,39,60,6,16,13,8,15,54,74,64,76,77,73,55,59,68,76,75,64,66,79,70,76,69,59,74
2443,2442,23,74,80,77,82,73,76,66,63,81,80,75,72,9,6,7,11,10,48,33,63,67,78,36,70,76,69,71,83,37,76,66,32,71,62,73,79
2444,2443,29,74,71,79,64,65,69,68,73,45,61,45,46,13,9,1,13,7,68,70,64,69,52,76,51,51,72,70,55,71,73,81,77,62,70,41,74
2445,2444,29,74,50,71,45,48,58,68,37,41,24,22,33,7,16,12,6,12,77,75,32,54,35,77,38,27,63,65,59,72,53,70,75,87,45,13,74
2446,2445,30,74,74,72,68,75,61,74,69,53,61,45,38,5,14,10,13,5,68,74,77,65,56,75,39,60,74,65,71,77,76,79,77,79,48,45,74
2447,2446,26,74,81,72,74,66,72,65,76,81,65,45,78,8,8,15,16,7,72,66,68,73,67,71,55,61,70,69,82,74,83,80,73,67,53,70,76
2448,2447,29,74,75,68,66,60,66,71,70,70,66,49,69,6,8,14,11,12,71,74,75,72,67,71,63,56,73,72,71,72,85,78,75,77,60,67,74
2449,2448,29,74,41,41,32,45,21,71,9,8,8,9,19,71,72,73,75,76,9,25,61,15,8,8,16,21,68,16,21,9,42,31,8,81,72,9,74
2450,2449,28,74,79,46,78,70,77,72,70,78,73,63,69,12,10,14,6,13,56,43,71,68,75,22,69,70,70,74,75,38,76,71,40,69,74,70,74
2451,2450,32,74,75,75,75,69,69,71,64,60,71,73,42,11,8,11,6,16,80,30,92,51,64,29,74,75,73,66,75,18,77,78,13,78,59,68,74
2452,2451,24,74,69,73,68,61,76,74,72,71,75,64,74,9,11,8,11,7,76,72,82,78,74,65,65,66,73,77,80,65,68,79,71,78,74,52,79
2453,2452,30,74,77,75,63,67,66,64,68,52,58,61,46,14,8,15,14,6,70,72,73,69,57,74,58,57,63,72,53,76,86,80,75,72,53,32,74
2454,2453,21,74,75,65,77,78,79,68,73,67,76,55,72,10,7,10,15,14,36,34,57,73,64,28,55,66,64,78,75,48,75,74,55,57,80,69,86
2455,2454,20,74,47,76,46,33,52,71,28,30,42,25,26,15,11,10,14,11,83,73,86,42,27,75,49,24,68,56,45,68,39,75,76,84,37,31,82
2456,2455,27,74,71,76,65,68,71,72,65,61,70,42,48,15,14,13,11,6,66,74,84,67,40,77,56,69,73,71,63,76,71,78,77,76,57,52,75
2457,2456,37,74,69,67,82,84,80,73,72,73,80,72,60,15,13,16,8,10,44,37,78,69,70,47,71,74,72,68,72,50,76,51,55,50,69,65,74
2458,2457,32,74,75,71,70,74,75,74,61,70,68,69,74,12,13,9,16,13,70,71,67,72,70,74,75,68,72,75,66,71,67,76,73,73,67,61,74
2459,2458,31,74,93,58,83,80,72,64,75,65,78,68,49,15,13,10,12,13,56,20,65,52,58,15,54,71,70,69,68,24,93,79,37,58,54,68,74
2460,2459,26,74,67,80,68,73,74,73,62,56,71,51,54,9,11,16,16,11,73,76,77,73,66,72,59,64,77,77,64,72,63,74,74,63,75,47,74
2461,2460,30,74,71,76,59,56,72,68,73,65,61,42,76,13,13,7,7,14,72,69,80,59,73,71,52,53,76,72,72,68,74,87,72,74,61,47,74
2462,2461,25,74,45,36,44,49,24,41,21,24,19,12,13,74,74,66,68,79,14,24,75,40,19,20,20,13,70,45,46,19,50,38,15,77,56,16,79
2463,2462,25,74,17,36,44,22,16,42,18,31,8,12,22,68,76,74,77,73,20,12,41,20,13,17,34,5,67,24,30,10,18,15,9,60,37,18,74
2464,2463,29,74,61,50,56,44,72,77,48,38,59,79,35,7,7,12,15,11,79,32,77,41,69,38,63,78,63,63,80,31,66,72,37,83,44,68,74
2465,2464,34,74,37,27,40,37,33,44,13,14,11,11,14,73,72,52,78,74,14,15,64,28,19,12,16,10,73,27,35,12,34,29,11,63,43,12,74
2466,2465,25,74,93,34,92,88,74,67,73,66,75,66,61,12,10,8,9,9,47,15,66,62,62,27,67,68,66,69,68,15,88,73,23,61,73,58,75
2467,2466,24,74,83,69,90,91,75,65,67,75,72,51,60,13,9,13,14,7,53,74,55,74,77,65,60,68,71,74,78,73,78,84,75,68,72,68,77
2468,2467,22,74,41,20,31,47,15,26,18,14,14,18,12,74,70,73,69,80,11,24,49,22,14,11,21,18,74,26,18,12,46,23,18,56,49,11,84
2469,2468,21,74,67,81,63,56,58,55,46,39,56,37,37,6,7,7,7,7,67,68,68,54,39,70,52,42,67,55,65,80,74,67,85,80,49,48,84
2470,2469,30,74,68,70,68,58,68,72,70,59,67,66,52,9,8,8,6,16,58,72,70,60,75,70,61,69,70,72,77,77,78,80,76,77,59,72,74
2471,2470,26,74,76,72,70,59,75,67,73,67,78,69,73,15,7,8,7,11,57,33,65,64,70,18,65,70,72,70,88,20,89,73,28,85,66,69,74
2472,2471,26,74,51,77,47,46,51,68,36,30,36,31,29,13,9,5,6,6,73,71,67,51,29,75,34,29,69,46,44,73,64,66,75,91,36,25,77
2473,2472,25,74,77,53,72,77,71,67,71,46,73,51,49,11,10,18,11,14,71,71,71,66,52,72,62,59,73,69,55,73,71,82,72,62,51,58,74
2474,2473,20,74,84,74,68,73,68,73,75,71,71,26,32,13,16,8,12,13,55,70,65,59,56,67,35,56,65,69,72,75,83,84,71,62,69,26,85
2475,2474,25,74,83,49,81,85,75,72,71,70,76,73,71,15,12,16,15,15,59,38,82,64,72,25,74,71,72,71,74,21,81,75,27,58,71,69,77
2476,2475,33,74,68,41,76,85,75,79,59,68,75,72,64,10,11,12,11,13,47,43,48,60,63,38,73,68,74,75,60,30,66,67,32,44,76,69,74
2477,2476,28,74,81,68,75,67,80,68,65,66,75,67,46,11,15,16,11,9,65,45,55,61,73,49,64,72,73,72,68,42,77,66,46,61,71,69,74
2478,2477,36,74,58,59,71,77,80,86,66,75,73,61,83,15,15,13,16,10,47,49,62,78,74,30,82,69,73,79,74,27,54,40,30,65,76,66,74
2479,2478,34,74,79,72,79,78,75,74,68,61,75,51,59,12,12,6,8,13,50,72,78,72,65,63,60,66,72,76,70,69,75,72,67,70,76,51,74
2480,2479,33,74,40,71,43,45,67,71,51,57,59,36,73,12,12,7,12,11,75,73,42,74,54,73,48,26,64,74,60,71,66,59,77,85,59,52,74
2481,2480,32,74,60,72,68,73,73,82,55,52,60,59,63,15,7,10,9,9,55,79,79,73,58,58,60,68,82,77,80,74,48,73,79,76,76,53,74
2482,2481,31,74,32,39,24,37,22,34,11,15,13,15,12,74,69,79,69,77,11,22,51,45,13,11,19,13,75,42,20,13,36,25,15,61,51,12,74
2483,2482,27,74,72,69,74,60,71,67,77,72,68,42,67,12,13,10,16,13,59,74,68,61,57,69,45,60,73,68,69,76,77,73,73,66,56,42,74
2484,2483,30,74,48,26,37,42,21,53,12,11,11,11,11,71,75,71,73,76,16,23,54,25,15,13,18,15,71,29,16,11,50,35,12,75,46,11,74
2485,2484,25,74,46,87,33,32,55,64,41,53,50,41,40,7,16,12,11,14,76,72,58,70,41,76,48,32,64,66,72,66,41,61,74,88,43,54,74
2486,2485,28,74,67,88,62,54,70,70,75,72,68,69,57,9,14,12,7,10,47,74,33,70,64,66,26,73,77,73,66,74,77,87,74,68,74,57,74
2487,2486,25,74,78,59,84,84,78,65,68,83,82,71,78,14,10,12,16,6,67,32,76,67,72,19,75,72,71,69,81,17,78,78,35,64,68,74,76
2488,2487,27,74,82,82,79,78,75,76,59,68,74,75,75,7,13,9,12,9,70,47,87,63,69,41,69,74,69,69,73,33,85,78,36,66,78,68,75
2489,2488,27,74,75,40,69,65,73,72,65,75,73,74,80,12,10,15,10,12,72,21,59,67,78,25,71,75,71,71,79,23,76,75,20,74,70,66,75
2490,2489,31,74,67,72,75,83,74,74,75,75,75,68,76,13,13,14,16,12,49,59,63,76,69,65,73,73,73,75,74,58,67,74,63,68,74,68,74
2491,2490,24,74,73,66,72,80,75,70,65,61,72,65,64,8,15,9,7,13,55,72,64,73,70,61,60,65,72,75,73,66,74,78,67,66,72,61,77
2492,2491,24,74,70,63,75,76,79,68,68,62,80,66,61,14,15,13,12,8,49,35,42,74,67,35,56,66,58,78,67,43,73,41,55,58,74,65,78
2493,2492,25,74,54,81,48,57,62,66,49,49,46,38,42,8,10,9,18,18,76,75,71,63,50,74,54,48,68,67,62,72,58,73,76,72,47,38,74
2494,2493,25,74,82,45,71,67,76,76,74,66,77,56,56,13,8,9,10,12,62,66,60,67,61,71,55,51,65,67,62,74,83,81,75,72,51,45,74
2495,2494,30,74,77,50,72,56,76,72,74,80,75,71,76,5,9,6,15,14,56,57,64,71,77,50,75,71,72,72,78,51,75,74,55,73,68,70,74
